,회사명,종목코드
617,에이비프로바이오,195990
618,에이씨티,138360
619,에이치엘사이언스,239610
620,에이치케이,44780
621,에이프로젠 H&G,109960
622,에코플라스틱,38110
623,엑사이엔씨,54940
624,엔에스,217820
625,엘오티베큠,83310
626,연이정보통신,90740
627,옵트론텍,82210
628,와이솔,122990
629,와이아이케이,232140
630,우노앤컴퍼니,114630
631,우리산업홀딩스,72470
632,우림기계,101170
633,우양,103840
634,윈하이텍,192390
635,윌링스,313760
636,유비벨록스,89850
637,유성티엔에스,24800
638,이녹스첨단소재,272290
639,이더블유케이,258610
640,이루온,65440
641,이에스브이,223310
642,이엘케이,94190
643,이지케어텍,99750
644,인터로조,119610
645,인터파크,108790
646,인터플렉스,51370
647,일야,58450
648,전파기지국,65530
649,제낙스,65620
650,제너셈,217190
651,제넨바이오,72520
652,제노레이,122310
653,제노포커스,187420
654,제룡전기,33100
655,제이씨현시스템,33320
656,젬백스,82270
657,조광ILI,44060
658,지스마트글로벌,114570
659,초록뱀,47820
660,케이맥,43290
661,케이엔더블유,105330
662,코너스톤네트웍스,33110
663,코드네이처,78940
664,코렌텍,104540
665,코맥스,36690
666,코세스,89890
667,코스맥스엔비티,222040
668,코스메카코리아,241710
669,코엔텍,29960
670,코텍,52330
671,큐리언트,115180
672,큐캐피탈,16600
673,크리스탈신소재,900250
674,테라셈,182690
675,티케이케미칼,104480
676,티플랙스,81150
677,파인디앤씨,49120
678,파인텍,131760
679,펩트론,87010
680,포스링크,56730
681,풍국주정,23900
682,피씨디렉트,51380
683,피앤텔,54340
684,피에스케이홀딩스,31980
685,픽셀플러스,87600
686,하이소닉,106080
687,한국컴퓨터,54040
688,한솔시큐어,70300
689,한일사료,5860
690,헝셩그룹,900270
691,현대바이오,48410
692,효성오앤비,97870
693,CNH,23460
694,DMS,68790
695,IBKS제11호스팩,335890
696,ITX엠투엠,99520
697,KBI메탈,24840
698,KH바텍,60720
699,KMH하이텍,52900
700,KTH,36030
701,KT서브마린,60370
702,SBS콘텐츠허브,46140
703,SG&G,40610
704,SGA,49470
705,TPC,48770
706,W홀딩컴퍼니,52300
707,YBM넷,57030
708,가온미디어,78890
709,경동제약,11040
710,고영,98460
711,골드퍼시픽,38530
712,골든센츄리,900280
713,광진윈텍,90150
714,구영테크,53270
715,국보디자인,66620
716,글로벌에스엠,900070
717,나이스정보통신,36800
718,네오위즈,95660
719,네오크레마,311390
720,노바텍,285490
721,뉴보텍,60260
722,다날,64260
723,다우데이타,32190
724,대동기어,8830
725,대명코퍼레이션,7720
726,대원,7680
727,대원미디어,48910
728,대호피앤씨,21040
729,대화제약,67080
730,더블유에프엠,35290
731,동아화성,41930
732,디앤씨미디어,263720
733,디에이테크놀로지,196490
734,라닉스,317120
735,라온피플,300120
736,라파스,214260
737,로스웰,900260
738,리더스코스메틱,16100
739,마니커에프앤지,195500
740,메가엠디,133750
741,메드팩토,235980
742,모베이스,101330
743,모아텍,33200
744,미래에셋대우스팩4호,333430
745,바른전자,64520
746,바이오스마트,38460
747,바텍,43150
748,보광산업,225530
749,본느,226340
750,브릿지바이오,288330
751,비엠티,86670
752,비츠로시스,54220
753,삼기오토모티브,122350
754,삼보모터스,53700
755,삼영엠텍,54540
756,삼천당제약,250
757,서울옥션,63170
758,서한,11370
759,성도이엔지,37350
760,성우전자,81580
761,세운메디칼,100700
762,세종텔레콤,36630
763,셀바스AI,108860
764,스맥,99440
765,스페코,13810
766,시그네틱스,33170
767,시너지이노베이션,48870
768,신신제약,2800
769,신화인터텍,56700
770,아나패스,123860
771,아이센스,99190
772,아즈텍WB,32080
773,안트로젠,65660
774,알리코제약,260660
775,알티캐스트,85810
776,앤디포스,238090
777,야스,255440
778,어보브반도체,102120
779,에버다임,41440
780,에스넷,38680
781,에스앤에스텍,101490
782,에스에이엠티,31330
783,에스와이,109610
784,에스티큐브,52020
785,에스피시스템스,317830
786,에스피지,58610
787,에이치엘비생명과학,67630
788,에이치엘비파워,43220
789,에이텍티앤,224110
790,에이티세미콘,89530
791,에코마케팅,230360
792,에코바이오,38870
793,에프앤리퍼블릭,64090
794,엔바이오니아,317870
795,엔브이에이치코리아,67570
796,엔에스엔,31860
797,엔에이치스팩13호,310840
798,엔에이치스팩15,339950
799,엔피케이,48830
800,엘엠에스,73110
801,엠케이전자,33160
802,오스테오닉,226400
803,오스템임플란트,48260
804,오이솔루션,138080
805,오킨스전자,80580
806,와이엠씨,155650
807,와이엠티,251370
808,와이제이엠게임즈,193250
809,우리산업,215360
810,우리조명,37400
811,원익,32940
812,원익IPS,240810
813,유니슨,18000
814,유니크,11320
815,유아이디,69330
816,유아이엘,49520
817,이상네트웍스,80010
818,이엔에프테크놀로지,102710
819,이테크건설,16250
820,이화공영,1840
821,인텔리안테크,189300
822,인포마크,175140
823,인피니트헬스케어,71200
824,일신바이오,68330
825,잉글우드랩,950140
826,장원테크,174880
827,전진바이오팜,110020
828,정다운,208140
829,정원엔시스,45510
830,제이씨케미칼,137950
831,좋은사람들,33340
832,중앙백신,72020
833,지어소프트,51160
834,청보산업,13720
835,칩스앤미디어,94360
836,카스,16920
837,케이비17호스팩,317030
838,케이사인,192250
839,케이피에스,256940
840,켐온,217600
841,코오롱티슈진,950160
842,큐브앤컴퍼니,43090
843,크린앤사이언스,45520
844,태웅,44490
845,토박스코리아,215480
846,팅크웨어,84730
847,파라텍,33540
848,파마리서치프로덕트,214450
849,파이오링크,170790
850,팜스토리,27710
851,푸드나무,290720
852,프리엠스,53160
853,플랜티넷,75130
854,필로시스헬스케어,57880
855,하나머티리얼즈,166090
856,하이셈,200470
857,하이텍팜,106190
858,한국선재,25550
859,한국전자인증,41460
860,한국정보공학,39740
861,한국코퍼레이션,50540
862,한국큐빅,21650
863,한독크린텍,256150
864,한류AI센터,222810
865,한양이엔지,45100
866,한프,66110
867,한화플러스제1호스팩,340440
868,핸디소프트,220180
869,현대사료,16790
870,현우산업,92300
871,홈캐스트,64240
872,화신정공,126640
873,휴네시온,290270
874,힘스,238490
875,3S,60310
876,EDGC,245620
877,EMW,79190
878,GRT,900290
879,JYP Ent.,35900
880,RFHIC,218410
881,SG,255220
882,TS인베스트먼트,246690
883,고려신용정보,49720
884,광진실업,26910
885,국영지앤엠,6050
886,그린플러스,186230
887,글로스퍼랩스,32860
888,기산텔레콤,35460
889,까스텔바작,308100
890,나무가,190510
891,나이스디앤비,130580
892,네오셈,253590
893,네패스,33640
894,넥스트BT,65170
895,넵튠,217270
896,누리플랜,69140
897,대림제지,17650
898,대신밸런스제6호스팩,307750
899,대신정보통신,20180
900,데일리블록체인,139050
901,동국알앤에스,75970
902,동우팜투테이블,88910
903,디바이스이엔지,187870
904,디이엔티,79810
905,디지캡,197140
906,라온시큐어,42510
907,룽투코리아,60240
908,리노스,39980
909,리더스 기술투자,19570
910,마이크로디지탈,305090
911,매직마이크로,127160
912,맥스로텍,141070
913,모다이노칩,80420
914,모베이스전자,12860
915,무림SP,1810
916,미디어젠,279600
917,미래나노텍,95500
918,미코,59090
919,민앤지,214180
920,바이오리더스,142760
921,바이오빌,65940
922,브레인콘텐츠,66980
923,비에이치,90460
924,비츠로테크,42370
925,빅텍,65450
926,삼강엠앤티,100090
927,삼성머스트스팩3호,309930
928,삼표시멘트,38500
929,상상인이안1호스팩,307870
930,선광,3100
931,선데이토즈,123420
932,선익시스템,171090
933,세원물산,24830
934,세진티에스,67770
935,센트럴바이오,51980
936,솔루에타,154040
937,스킨앤스킨,159910
938,신한제4호스팩,277480
939,신화콘텍,187270
940,신흥에스이씨,243840
941,실리콘웍스,108320
942,쌍용정보통신,10280
943,쎄니트,37760
944,씨엠에스에듀,225330
945,아난티,25980
946,아시아경제,127710
947,아이디스홀딩스,54800
948,아이쓰리시스템,214430
949,아이씨케이,68940
950,아이컴포넌트,59100
951,아주IB투자,27360
952,안국약품,1540
953,알톤스포츠,123750
954,압타바이오,293780
955,액션스퀘어,205500
956,에스맥,97780
957,에스앤더블류,103230
958,에스에이티,60540
959,에스엔유,80000
960,에스엔텍비엠,160600
961,에스티팜,237690
962,에이앤티앤,50320
963,에이에프더블류,312610
964,에이치엔티,176440
965,에이테크솔루션,71670
966,에코캡,128540
967,엘앤씨바이오,290650
968,엠에스씨,9780
969,엠젠플러스,32790
970,엠플러스,259630
971,오디텍,80520
972,오로라,39830
973,와이지엔터테인먼트,122870
974,우리기술투자,41190
975,우주일렉트로,65680
976,우진비앤지,18620
977,위지윅스튜디오,299900
978,윈스,136540
979,유라테크,48430
980,유앤아이,56090
981,이그잭스,60230
982,이니텍,53350
983,이베스트투자증권,78020
984,이에스에이,52190
985,이화전기,24810
986,인바디,41830
987,인지디스플레,37330
988,인콘,83640
989,인터엠,17250
990,일지테크,19540
991,제닉,123330
992,제로투세븐,159580
993,제이엠아이,33050
994,지티지웰니스,219750
995,진로발효,18120
996,차바이오텍,85660
997,차이나그레이트,900040
998,천랩,311690
999,체리부로,66360
1000,컴투스,78340
1001,케이디켐,221980
1002,케이씨티,89150
1003,케이엠제약,225430
1004,코디엠,224060
1005,코리아에스이,101670
1006,코썬바이오,204990
1007,큐렉소,60280
1008,큐로컴,40350
1009,크루셜텍,114120
1010,크리스탈,83790
1011,클리오,237880
1012,태양,53620
1013,테라젠이텍스,66700
1014,테크윙,89030
1015,티에스이,131290
1016,티엘아이,62860
1017,티움바이오,321550
1018,팍스넷,38160
1019,팜스빌,318010
1020,팬스타엔터프라이즈,54300
1021,펄어비스,263750
1022,평화정공,43370
1023,포비스티앤씨,16670
1024,포스코 ICT,22100
1025,포시에스,189690
1026,플레이위드,23770
1027,피씨엘,241820
1028,피앤이솔루션,131390
1029,피피아이,62970
1030,필링크,64800
1031,하나금융13호스팩,320000
1032,하나금융9호스팩,261200
1033,하이제4호스팩,317240
1034,한국정보인증,53300
1035,한국제5호스팩,271740
1036,한국제8호스팩,310870
1037,한류타임즈,39670
1038,한솔인티큐브,70590
1039,한송네오텍,226440
1040,한스바이오메드,42520
1041,한일단조,24740
1042,한창산업,79170
1043,해덕파워웨이,102210
1044,해마로푸드서비스,220630
1045,휴림로봇,90710
1046,휴마시스,205470
1047,휴비츠,65510
1048,흥구석유,24060
1049,흥국,10240
1050,DB금융스팩6호,306620
1051,GS홈쇼핑,28150
1052,HB테크놀러지,78150
1053,IBKS제12호스팩,335870
1054,ISC,95340
1055,KD,44180
1056,KG이니시스,35600
1057,KNN,58400
1058,MP한강,219550
1059,NEW,160550
1060,NE능률,53290
1061,NHN한국사이버결제,60250
1062,SBI인베스트먼트,19550
1063,THE MIDONG,161570
1064,iMBC,52220
1065,고려제약,14570
1066,국일제지,78130
1067,금강철강,53260
1068,금화피에스시,36190
1069,나노스,151910
1070,나노캠텍,91970
1071,나라엠앤디,51490
1072,내츄럴엔도텍,168330
1073,노랑풍선,104620
1074,녹십자엠에스,142280
1075,녹십자웰빙,234690
1076,뉴트리,270870
1077,다나와,119860
1078,대륙제관,4780
1079,대모,317850
1080,대성엘텍,25440
1081,대성창투,27830
1082,대양제지,6580
1083,대정화금,120240
1084,대주산업,3310
1085,동국S&C,100130
1086,동성화인텍,33500
1087,동양에스텍,60380
1088,동양이엔피,79960
1089,동일철강,23790
1090,드래곤플라이,30350
1091,드림시큐리티,203650
1092,디스플레이텍,66670
1093,디알젬,263690
1094,디에이치피코리아,131030
1095,디자인,227100
1096,디케이디앤아이,33310
1097,랩지노믹스,84650
1098,레드로버,60300
1099,레이,228670
1100,로보티즈,108490
1101,마이크로텍,227950
1102,마크로젠,38290
1103,매일유업,267980
1104,멀티캠퍼스,67280
1105,메디앙스,14100
1106,미래생명자원,218150
1107,바른손이앤에이,35620
1108,바이오솔루션,86820
1109,바이오톡스텍,86040
1110,버추얼텍,36620
1111,베스파,299910
1112,빅솔론,93190
1113,삼목에스폼,18310
1114,삼성스팩2호,291230
1115,상상인,38540
1116,샘코,263540
1117,서암기계공업,100660
1118,서울반도체,46890
1119,서진시스템,178320
1120,세미콘라이트,214310
1121,세원,234100
1122,세화피앤씨,252500
1123,셀리버리,268600
1124,셀트리온헬스케어,91990
1125,소프트센,32680
1126,솔고바이오,43100
1127,쇼박스,86980
1128,슈피겐코리아,192440
1129,시큐브,131090
1130,신라섬유,1000
1131,심텍홀딩스,36710
1132,싸이맥스,160980
1133,씨유메디칼,115480
1134,씨티씨바이오,60590
1135,씨티케이코스메틱스,260930
1136,아모그린텍,125210
1137,아미노로직스,74430
1138,아바코,83930
1139,아바텍,149950
1140,아이디스,143160
1141,아이에스이커머스,69920
1142,아이엠,101390
1143,알엔투테크놀로지,148250
1144,액토즈소프트,52790
1145,앤씨앤,92600
1146,에너토크,19990
1147,에스디시스템,121890
1148,에스엠코어,7820
1149,에스트래픽,234300
1150,에스티아이,39440
1151,에쎈테크,43340
1152,에이텍,45660
1153,에코프로,86520
1154,에프엔씨엔터,173940
1155,엑시콘,92870
1156,엔지스테크널러지,208860
1157,엔터메이트,206400
1158,엔텔스,69410
1159,엠게임,58630
1160,영신금속,7530
1161,영우디에스피,143540
1162,오가닉티코스메틱,900300
1163,오리엔탈정공,14940
1164,오리콤,10470
1165,오성첨단소재,52420
1166,오션브릿지,241790
1167,오스코텍,39200
1168,오스템,31510
1169,우리기술,32820
1170,우리넷,115440
1171,우리로,46970
1172,우정바이오,215380
1173,월덱스,101160
1174,웰크론한텍,76080
1175,윙입푸드,900340
1176,유니셈,36200
1177,유니온커뮤니티,203450
1178,유니트론텍,142210
1179,유신,54930
1180,유진기업,23410
